arm	phi_proxy_bits	self_pred_mi_bits	perplexity	note
CAUSAL_unidirectional	2.8477363469573813	3.9074609119958468	34.11291660275063	frozen base · real causal mask
BIDIR_attention	2.443552109234064	3.3968721878189365	8.316949567569804	same frozen base · causal mask removed
REC_adapter	0.4868993469543567	2.8228932829707056	n/a	GRU feedback · mean of 5 seeds [0.282114112085611..1.0617642448335607] sd 0.29277339481624465
FF_control	0.5819390967185233	1.449543683436716	n/a	param-matched FF · mean of 5 seeds [0.0618653783232026..1.122299750005126] sd 0.3700364084117817
